views,likes,dislikes,comment_count,type
9445,381,22,35,0
379172,5794,244,360,0
304954,2981,70,126,0
1448352,76717,1017,4539,1
441164,36355,560,2482,0
46197,3794,254,889,0
756962,22854,2983,2902,0
625607,34952,705,1766,0
2003729,93297,986,15120,1
914063,31150,1471,9449,0
2242229,63341,8314,9293,1
50899,1520,120,864,0
384420,12145,504,787,0
127535,5146,125,275,0
578964,22898,1192,3391,0
112967,5896,524,1066,0
2312628,148859,3720,13940,1
1285629,24686,8404,6778,1
178887,19838,83,1055,0
63841,4226,114,481,0
1985134,11176,5614,3627,1
525327,16698,188,1212,0
1406451,37209,2146,1782,1
408821,3912,152,466,0
799694,19416,860,6617,0
3447230,100566,1959,6954,1
64813,3479,29,91,0
485602,32167,468,1004,0
92342,4797,74,373,0
595598,136072,333,6292,0
3631775,43038,44500,12476,1
2286953,156920,915,8454,1
386174,6074,138,304,0
128804,5369,336,1179,0
1836995,48570,2523,10096,1
125604,387,194,88,0
2002223,95909,1080,5624,1
84488,4493,48,291,0
120991,1060,42,377,0
674220,40478,613,2430,0
61066,68,3,7,0
25521,393,83,409,0
33164,1253,15,134,0
694375,8462,177,458,0
62257,2060,89,538,0
1408656,34417,506,3703,1
331642,21739,190,1628,0
274155,10765,750,2560,0
210266,3759,107,270,0
30873,119,16,40,0
54256,208,149,122,0
14190,89,5,36,0
92106,5791,67,3664,0
40326,383,113,64,0
20292,10,102,17,0
340649,26383,557,2167,0
1443934,163475,709,9111,1
38528,283,218,0,0
161057,686,338,541,0
71415,4483,39,420,0
293758,20134,193,918,0
596888,29736,523,1768,0
7544,1049,14,128,0
39363,1955,31,367,0
981376,22491,1233,2931,0
1975,4,0,0,0
68611,1899,74,82,0
111222,6724,96,855,0
2468267,94303,7802,21866,1
606481,13385,512,633,0
362775,6411,499,1750,0
961935,21757,2651,3084,0
25796,2842,84,502,0
169411,7443,101,973,0
5661444,145774,11064,19365,1
131762,150,23,79,0
728698,13623,2096,7015,0
34784,1863,21,126,0
187106,11363,39,489,0
1387,15,1,1,0
3903013,219847,4307,13620,1
368865,11889,127,705,0
139806,2007,70,303,0
68585,4630,91,932,0
11807,5,0,0,0
252084,12712,240,634,0
518064,10394,765,2465,0
388443,15160,763,1240,0
496031,18985,228,6004,0
220365,5694,148,1288,0
885011,16396,1363,2956,0
43009,2017,15,167,0
119765,5741,50,615,0
261429,4470,62,454,0
37533,2150,87,357,0
360433,10988,427,5212,0
42087,1671,653,872,0
107173,3477,109,137,0
4949674,180201,7042,9687,1
198789,16735,144,2314,0
146013,8719,243,349,0
3317,19,0,2,0
1384436,39121,4882,3029,1
21855,281,17,0,0
2744125,151426,2373,20039,1
13676,1172,18,169,0
1224268,28632,1126,2595,1
1042282,6029,549,3187,0
413662,22359,133,3393,0
227345,2390,577,1958,0
33434,147,45,224,0
35487,1999,36,514,0
87065,281,128,173,0
265799,14179,384,1727,0
333944,17486,167,1424,0
3841,97,4,14,0
11032,58,4,5,0
136837,2504,39,505,0
2688797,19042,3059,2689,1
52416,5873,41,1664,0
59959,2256,23,96,0
72940,1353,102,145,0
434036,6464,334,348,0
100168,514,31,88,0
301738,8634,332,2027,0
112077,438,46,572,0
195143,5171,69,239,0
789594,10203,1561,3551,0
472936,2867,185,467,0
47760,132,77,41,0
371683,9600,750,1282,0
188957,7394,75,680,0
22302,83,75,63,0
49451,4666,92,447,0
292891,6725,386,598,0
324024,10288,274,1586,0
147851,5319,171,739,0
343273,4503,182,266,0
48130,271,10,71,0
26448434,911883,53873,127481,1
73984,3676,78,353,0
67471,40,15,29,0
35125,627,43,64,0
108297,232,184,0,0
4707527,157931,2072,23205,1
2959054,415035,6703,30393,1
396346,11277,499,2140,0
1188326,25951,1115,2263,1
322818,14604,420,2014,0
29943556,1388751,54751,79828,1
21046,1308,62,206,0
195386,2544,186,384,0
1540436,125458,2469,9721,1
11072585,119371,10400,20757,1
101553,11324,118,2593,0
148223,1453,799,743,0
1905799,127150,1172,4255,1
1612055,18320,1968,3563,1
831968,3925,221,769,0
286288,6590,326,453,0
2280611,84882,2682,11245,1
8533826,180591,4104,32468,1
370302,12763,279,682,0
194110,8542,248,472,0
148145,7944,280,1192,0
242240,5045,516,445,0
240931,23549,304,1965,0
1246742,89204,1963,7933,1
2173621,74326,13817,19679,1
6705901,471760,14126,50744,1
4116378,13119,349,2394,1
9856767,201286,7805,10718,1
467983,41915,860,3679,0
79541,430,141,132,0
311937,9928,125,444,0
998296,40745,613,3934,0
288770,12220,687,1812,0
926121,39732,700,5527,0
580897,49373,589,2391,0
9779219,283197,6202,13116,1
1795369,115580,1081,8156,1
365523,22347,212,1096,0
166940,8124,289,679,0
567182,5387,401,583,0
100954,618,73,241,0
679693,19264,1438,1048,0
5514929,439189,4424,21011,1
855475,23255,706,4011,0
587048,35351,295,1236,0
581091,7318,2514,1877,0
52602,312,33,0,0
414431,20345,215,694,0
97375,3598,123,213,0
6066643,976120,4272,82380,1
128700,14662,140,1439,0
38057,759,74,81,0
610459,30692,448,1475,0
42399,1095,49,35,0
43202,540,25,67,0
99495,2837,148,461,0
78147,1591,217,197,0
198335,12338,94,422,0
374411,1959,820,1602,0
343860,6546,404,732,0
1329506,66170,608,66546,1
1839303,109122,1522,4115,1
126419,9064,106,448,0
461828,25387,1066,4818,0
233492,13899,467,1411,0
825470,34831,861,1950,0
925595,39452,766,5416,0
538348,38894,622,2561,0
433978,29936,522,1943,0
50157,5561,31,422,0
64813,3158,176,115,0
429721,14372,926,2272,0
361618,3239,77,133,0
1524361,79021,1063,4659,1
58760,4314,337,880,0
673143,35844,722,1801,0
800306,23559,3133,2977,0
797596,157975,438,6758,0
2259888,99803,1074,15766,1
156892,5863,144,288,0
987117,32742,1597,10123,0
24423,395,5,122,0
2758724,158996,4107,14663,1
440942,13096,558,821,0
2326348,64614,8599,9385,1
616420,23599,1233,3431,0
125328,6274,535,1080,0
330225,27807,122,1226,0
1315527,25054,8571,6564,1
602977,18336,214,1299,0
2056950,11386,5874,3500,1
